Title,Year,IMDB,Kills
Dawn of the Dead,2004,http://imdb.com/title/tt0363547/,131
Death Sentence,2007,http://www.imdb.com/title/tt0804461/,15
Death to Smoochy,2002,http://www.imdb.com/title/tt0266452/,3
Delta Force 2,1990,http://www.imdb.com/title/tt0099399/,92
Demolition Man,1993,http://www.imdb.com/title/tt0106697/,25
The Departed,2006,http://www.imdb.com/title/tt0407887/,21
Desperado,1995,http://www.imdb.com/title/tt0112851/,80
The Devil's Rejects,2005,http://www.imdb.com/title/tt0395584/,30
Diamonds are Forever,1971,http://www.imdb.com/title/tt0066995/,29
Die Hard,1988,http://www.imdb.com/title/tt0095016/,20
Die Hard 2,1990,http://www.imdb.com/title/tt0099423/,37
Die Hard with a Vengeance,1995,http://www.imdb.com/title/tt0112864/,26
Disturbia,2007,http://www.imdb.com/title/tt0486822/,10
Domino,2005,http://www.imdb.com/title/tt0421054/,51
Donnie Darko,2001,http://www.imdb.com/title/tt0246578/,3
Dr. No,1962,http://www.imdb.com/title/tt0055928/,8
Dracula 2000,2000,http://www.imdb.com/title/tt0219653/,18
Dune,1984,http://www.imdb.com/title/tt0087182/,186
Equilibrium,2002,http://us.imdb.com/Title?0238380,236
Eraser,1996,http://www.imdb.com/title/tt0116213/,52
Movie Body Counts:Escape From New York,1981,http://www.imdb.com/title/tt0082340,28
Evil Dead II: Dead by Dawn,1987,http://www.imdb.com/title/tt0092991/,8
eXistenZ,1999,http://www.imdb.com/title/tt0120907/,11
Exit Wounds,2001,http://imdb.com/title/tt0242445/,38
Face/Off,1997,http://imdb.com/title/tt0119094/,56
Fair Game,1995,http://www.imdb.com/title/tt0113010/,21
Fantastic Four: Rise of the Silver Surfer,2007,http://www.imdb.com/title/tt0486576/,6
Fear and Loathing in Las Vegas,1998,http://www.imdb.com/title/tt0120669/,10
Fearless,2006,http://www.imdb.com/title/tt0446059/,5
Fifth Element,1997,http://amazon.imdb.com/title/tt0119116/,80
Fight Club,1999,http://www.imdb.com/title/tt0137523/,14
Firewall,2006,http://www.imdb.com/title/tt0408345/,5
A Fistful of Dollars,1964,http://www.imdb.com/title/tt0058461/,109
Flags of Our Fathers,2006,http://www.imdb.com/title/tt0418689/,93
The Fly 2,1989,http://www.imdb.com/title/tt0097368/,8
The Fog,1980,http://www.imdb.com/title/tt0080749/,6
Fool's Gold,2008,http://www.imdb.com/title/tt0770752/,3
For a Few Dollars More,1965,http://www.imdb.com/title/tt0059578/,42
For Your Eyes Only,1981,http://www.imdb.com/title/tt0082398,42
Formula 51,2001,http://www.imdb.com/title/tt0227984/,22
Four Brothers,2005,http://www.imdb.com/title/tt0430105/,16
The French Connection,1971,http://www.imdb.com/title/tt0067116/,12
Friday the 13th,2009,http://www.imdb.com/title/tt0758746/,14
From Dusk Till Dawn,1996,http://www.imdb.com/title/tt0116367/,122
From Russia With Love,1963,http://www.imdb.com/title/tt0057076/,21
The Fugitive,1993,http://www.imdb.com/title/tt0106977/,5
Gangster No. 1,2000,http://www.imdb.com/title/tt0210065/,7
Get Carter,2000,http://www.imdb.com/title/tt0208988/,5
Ghost Rider,2007,http://www.imdb.com/title/tt0259324/,52
Gladiator,2000,http://www.imdb.com/title/tt0172495/,77
Goldeneye,1995,http://www.imdb.com/title/tt0113189,57
Goldfinger,1964,http://www.imdb.com/title/tt0058150/,62
The Good Shepherd,2006,http://www.imdb.com/title/tt0343737/,5
"The Good, the Bad and the Ugly",1966,http://www.imdb.com/title/tt0060196/,126
Grindhouse: Death Proof,2007,http://www.imdb.com/title/tt1028528/,8
Grindhouse: Double Feature,2007,http://www.imdb.com/title/tt0462322/,310
Grindhouse: Planet Terror,2007,http://www.imdb.com/title/tt1077258/,281
Grosse Pointe Blank,1997,http://www.imdb.com/title/tt0119229/,16
The Guardian,2006,http://www.imdb.com/title/tt0406816/,11
Hamlet (1990),1990,http://www.imdb.com/title/tt0099726/,9
Hannibal,2001,http://www.imdb.com/title/tt0212985/,15
Movie Body Counts:Hard Boiled,1992,http://www.imdb.com/title/tt0104684/,307
Movie Body Counts:Hard to Kill,1990,http://www.imdb.com/title/tt0099739/,19
HP: Goblet of Fire,2005,http://www.imdb.com/title/tt0330373/,3
Heat,1995,http://www.imdb.com/title/tt0113277/,18
Hellboy,2004,http://www.imdb.com/title/tt0167190/,42
Hero,2002,http://www.imdb.com/title/tt0299977/,152
A History of Violence,2005,http://www.imdb.com/title/tt0399146/,13
Hitman,2007,http://www.imdb.com/title/tt0465494/,55
Hollow Point,1996,http://www.imdb.com/title/tt0113313/,17
Hostage,2005,http://www.imdb.com/title/tt0340163/,16
Hot Fuzz,2007,http://www.imdb.com/title/tt0425112/,29
Movie Body Counts:Hot Shots! Part Deux,1993,http://imdb.com/title/tt0107144/,114
House of the Dead,2003,http://www.imdb.com/title/tt0317676/,141
House on Haunted Hill,1999,http://www.imdb.com/title/tt0185371/,30
The Hunt for Red October,1990,http://www.imdb.com/title/tt0099810/,7
I Am Legend,2007,http://www.imdb.com/title/tt0480249/,71
In Bruges,2008,http://www.imdb.com/title/tt0780536/,5
The Incredible Hulk,2008,http://www.imdb.com/title/tt0800080/,41
The Incredibles,2004,http://www.imdb.com/title/tt0372784/,16
"Indiana Jones and the Kingdom of the
Crystal Skull",2008,http://www.imdb.com/title/tt0367882/,76
Inside Man,2006,http://www.imdb.com/title/tt0454848/,13
The International,2009,http://www.imdb.com/title/tt0963178/,18
Invasion U.S.A.,1985,http://us.imdb.com/title/tt0089348/,146
Iron Man,2008,http://www.imdb.com/title/tt0371746/,57
The Island,2005,http://www.imdb.com/title/tt0399201/,12
Jack Brooks: Monster Slayer,2007,http://www.imdb.com/title/tt0816539/,15
The Jackal,1997,http://www.imdb.com/title/tt0119395/,11
Jackie Brown,1997,http://www.imdb.com/title/tt0119396/,4
Jason X,2001,http://www.imdb.com/title/tt0211443/,27
Jumper,2008,http://www.imdb.com/title/tt0489099/,7
Jurassic Park III,2001,http://www.imdb.com/title/tt0163025/,6
K-19: The Widowmaker,2002,http://www.imdb.com/title/tt0267626/,10
Kelly's Heroes,1970,http://www.imdb.com/title/tt0065938/,139
Kingdom of Heaven,2005,http://www.imdb.com/title/tt0320661/,610
Kill Bill: Vol. 1,2003,http://www.imdb.com/title/tt0266697/,95
Kill Bill: Vol. 2,2004,http://www.imdb.com/title/tt0378194/,3
Movie Body Counts:The Killer,1989,http://www.imdb.com/title/tt0097202/,149
King Kong,2005,http://www.imdb.com/title/tt0360717/,23
